tweet_id,favorites,retweets,user_followers,user_favourites,date_time
699323444782047232,2928,788,9208009,146963,2016-02-15 20:04:36
699088579889332224,2101,573,9208009,146963,2016-02-15 04:31:20
699079609774645248,2279,583,9208009,146963,2016-02-15 03:55:41
699072405256409088,2755,1086,9208009,146963,2016-02-15 03:27:04
699060279947165696,3474,1642,9208009,146963,2016-02-15 02:38:53
699036661657767936,2426,1106,9208009,146963,2016-02-15 01:05:02
698989035503689728,3106,884,9208009,146963,2016-02-14 21:55:47
698953797952008193,2509,840,9208009,146963,2016-02-14 19:35:46
698907974262222848,2359,559,9208009,146963,2016-02-14 16:33:40
698710712454139905,2296,625,9208009,146963,2016-02-14 03:29:49
698703483621523456,1340,340,9208009,146963,2016-02-14 03:01:06
698635131305795584,1207,319,9208009,146963,2016-02-13 22:29:29
698549713696649216,2167,567,9208009,146963,2016-02-13 16:50:04
698355670425473025,1717,401,9208009,146963,2016-02-13 03:59:01
698342080612007937,2096,879,9208009,146963,2016-02-13 03:05:01
698262614669991936,4441,1814,9208009,146963,2016-02-12 21:49:15
698195409219559425,15679,5502,9208009,146963,2016-02-12 17:22:12
698178924120031232,2615,683,9208009,146963,2016-02-12 16:16:41
697995514407682048,1424,309,9208009,146963,2016-02-12 04:07:53
697990423684476929,3050,1182,9208009,146963,2016-02-12 03:47:39
697943111201378304,2226,621,9208009,146963,2016-02-12 00:39:39
697881462549430272,2810,1066,9208009,146963,2016-02-11 20:34:41
697630435728322560,1616,501,9208009,146963,2016-02-11 03:57:11
697616773278015490,2913,929,9208009,146963,2016-02-11 03:02:54
697596423848730625,2805,1150,9208009,146963,2016-02-11 01:42:02
697575480820686848,1906,460,9208009,146963,2016-02-11 00:18:49
697516214579523584,1894,1009,9208009,146963,2016-02-10 20:23:19
697482927769255936,2259,613,9208009,146963,2016-02-10 18:11:03
697463031882764288,3200,1282,9208009,146963,2016-02-10 16:51:59
697270446429966336,4386,1731,9208494,146967,2016-02-10 04:06:43
697259378236399616,3068,912,9208009,146963,2016-02-10 03:22:44
697255105972801536,2865,1067,9208009,146963,2016-02-10 03:05:46
697242256848379904,2353,622,9208009,146963,2016-02-10 02:14:42
696900204696625153,2949,949,9208009,146963,2016-02-09 03:35:31
696894894812565505,2194,625,9208009,146963,2016-02-09 03:14:25
696886256886657024,4498,1643,9208009,146963,2016-02-09 02:40:05
696877980375769088,2285,648,9208009,146963,2016-02-09 02:07:12
696754882863349760,1379,330,9208009,146963,2016-02-08 17:58:03
696744641916489729,1913,844,9208009,146963,2016-02-08 17:17:22
696713835009417216,2196,591,9208009,146963,2016-02-08 15:14:57
696518437233913856,3664,1584,9208009,146963,2016-02-08 02:18:30
696490539101908992,1139,127,9208009,146963,2016-02-08 00:27:39
696488710901260288,2327,933,9208009,146963,2016-02-08 00:20:23
696405997980676096,2964,1060,9208009,146963,2016-02-07 18:51:43
696100768806522880,1796,593,9208009,146963,2016-02-06 22:38:50
695816827381944320,2789,1066,9208008,146963,2016-02-06 03:50:33
695794761660297217,2943,716,9208008,146963,2016-02-06 02:22:53
695767669421768709,1729,671,9208008,146963,2016-02-06 00:35:13
695629776980148225,4238,1913,9208008,146963,2016-02-05 15:27:17
695446424020918272,4134,1673,9208008,146963,2016-02-05 03:18:42
695409464418041856,8076,3293,9208008,146963,2016-02-05 00:51:51
695314793360662529,3374,1323,9208008,146963,2016-02-04 18:35:39
695095422348574720,2484,555,9208008,146963,2016-02-04 04:03:57
695074328191332352,2630,1006,9208008,146963,2016-02-04 02:40:08
695064344191721472,1494,534,9208008,146963,2016-02-04 02:00:27
695051054296211456,2458,728,9208008,146963,2016-02-04 01:07:39
694925794720792577,2527,835,9208008,146963,2016-02-03 16:49:55
694905863685980160,2561,851,9208008,146963,2016-02-03 15:30:43
694669722378485760,33368,13195,9208008,146963,2016-02-02 23:52:22
694356675654983680,1400,257,9208008,146963,2016-02-02 03:08:26
694352839993344000,1893,550,9208008,146963,2016-02-02 02:53:12
694342028726001664,1479,440,9208008,146963,2016-02-02 02:10:14
694329668942569472,1845,457,9208008,146963,2016-02-02 01:21:07
694206574471057408,3853,1874,9208008,146963,2016-02-01 17:11:59
694183373896572928,2740,850,9208008,146963,2016-02-01 15:39:48
694001791655137281,3173,935,9208008,146963,2016-02-01 03:38:15
